State/Territory,Cases in Last 7 Days
TX,42495
CA,42107
FL,26912
GA,16919
IL,14182
TN,10229
NC,10161
MO,7600
AL,7559
OH,6515
OK,6299
MS,6269
VA,6209
IN,5517
SC,5491
LA,5025
WI,4959
PA,4588
MN,4582
AZ,4566
MI,4549
NV,4355
KY,4214
NY,3996
MD,3954
AR,3909
IA,3842
WA,3551
KS,2971
UT,2480
ID,2193
NJ,2039
CO,1957
MA,1675
NE,1517
OR,1486
HI,1414
ND,1353
SD,1002
NM,988
MT,711
WV,708
RI,687
CT,634
AK,482
DE,406
WY,293
ME,159
NH,119
VT,42
